"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/01/2017","Transfer from Kalpan Checking","PAYMENT","817.41","credit","Credit Card Payment","Rewards Card","",""
"5/01/2017","Patel Brothers","PATEL BROTHERS NORTH BRUNSWINJ","140.65","debit","Groceries","Rewards Card","",""
"5/01/2017","Patel Brothers","PATEL BROTHERS NORTH BRUNSWINJ","22.98","debit","Groceries","Rewards Card","",""
"5/01/2017","Transfer to Rewards Card","Bank of America Credit Card Bill Payment","817.41","debit","Credit Card Payment","Kalpan Checking","",""
"5/01/2017","Transfer from Kalpan Savings","Online Banking transfer from SAV 2431 Confirmation# 3465416655","1000.00","credit","Transfer","Kalpan Checking","",""
"5/01/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# gc95cj69i; BHATT, KHUSHBU","900.00","credit","Transfer","Kalpan Savings","",""
"5/01/2017","Transfer to Kalpan Checking","Online Banking transfer to CHK 7360 Confirmation# 3465416655","1000.00","debit","Transfer","Kalpan Savings","",""
"5/01/2017","Sunnymeade Run","Sunnymeade Run","1780.00","debit","Mortgage & Rent","Cash","",""
"4/30/2017","Public Service","PUBLIC SERVICE DES:PSEG ID:XXXXX8037908 INDN:KALPAN BHATT CO ID:XXXXX12800 PPD","70.04","debit","Utilities","Kalpan Checking","",""
"4/30/2017","Tst Cake Walk","TST* CAKE WALK","8.55","debit","Food & Dining","Sapphire Card","",""
"4/30/2017","Mamoun's","MAMOUNS PRINCETON LLC","4.82","debit","Restaurants","Sapphire Card","",""
"4/30/2017","Chambers Street Partners","CHAMBERS STREET PARKING G","3.00","debit","Parking","Sapphire Card","",""
"4/30/2017","Spice By Nature","SPICE BY NATURE","35.00","debit","Restaurants","Sapphire Card","",""
"4/30/2017","Rajbhog Cafe","RAJBHOG CAFE","11.21","debit","Restaurants","Sapphire Card","",""
"4/30/2017","Dividend","DIVIDEND","0.02","credit","Investments","DCU Savings","",""
"4/29/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","15.00","debit","Gas & Fuel","Rewards Card","",""
"4/29/2017","Big Bazaar","BIG BAZAAR PLAINSBORO NJ","50.58","debit","Groceries","Rewards Card","",""
"4/28/2017","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","4.69","debit","Groceries","Rewards Card","",""
"4/28/2017","Dial91.com Fl","DIAL91.COM 888-5017488 FL","10.00","debit","Home Phone","Rewards Card","",""
"4/28/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX3092033CTS INDN:BHATT,KALPAN K...","1128.50","credit","Paycheck","Kalpan Checking","",""
"4/28/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# 1l7ptz41g; JHAVERI, ARPIT","100.00","credit","Transfer","Kalpan Savings","",""
"4/28/2017","Cognizant Techno Direct","COGNIZANT TECHNO DIRECT DEPPPD ID: 9111111103","500.00","credit","Paycheck","Kalpan Checking","",""
"4/28/2017","Dunkin Donuts","DUNKIN #344945     Q35","10.84","debit","Coffee Shops","Sapphire Card","",""
"4/27/2017","Bankamerideals Cashback","BankAmeriDeals CASHBACK","0.56","credit","Income","Kalpan Checking","",""
"4/27/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","24.20","debit","Gas & Fuel","Sapphire Card","",""
"4/27/2017","E-ZPass","NEW JERSEY E-ZPASS","37.09","debit","Toll Fees","Sapphire Card","",""
"4/27/2017","Target","TARGET        00022566","3.96","debit","Groceries","Sapphire Card","",""
"4/27/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170428","500.00","credit","Paycheck","DCU Checking","",""
"4/25/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# 14if4jfg7; Zaveri, Arpit","310.00","debit","Transfer","Kalpan Checking","","265 for Sling and 45 for restaurant"
"4/25/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# 14if4jfg7; Zaveri, Arpit","615.00","debit","Transfer","Kalpan Checking","Vacation2017 Vegas",""
"4/25/2017","Aria","ARIA - LEMONGRASS","55.30","debit","Restaurants","Sapphire Card","Vacation2017 Vegas",""
"4/25/2017","Chipotle","CHIPOTLE 0867","15.71","debit","Restaurants","Sapphire Card","",""
"4/25/2017","Bouchon Bistro Vene","BOUCHON BISTRO @ THE VENE","7.01","debit","Restaurants","Sapphire Card","Vacation2017 Vegas",""
"4/25/2017","Aria","ARIA JPP","5.14","debit","Mobile Phone","Sapphire Card","Vacation2017 Vegas",""
"4/25/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# 96rus51ft; Ray, Pathik","238.74","debit","Transfer","Kalpan Checking","Vacation2017 Vegas",""
"4/24/2017","McDonald's","MCDONALD'S F2967","8.07","debit","Fast Food","Sapphire Card","Vacation2017 Vegas",""
"4/24/2017","Auntie Anne Nv","AUNTIE ANNE'S NV103","16.84","debit","Food & Dining","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Travelodge","TRAVELODGE PAGE-LK POWEL","33.55","debit","Hotel","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Plaza","PLAZA BONITA","56.29","debit","Service & Parts","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Denver Ws Say","DENVER 3101WS5 SAY SI BON","7.08","debit","Fast Food","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Travelodge","TRAVELODGE PAGE-LK POWEL","33.55","debit","Hotel","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Gran Cyn Np","GRAN CYN NP-DESERT VIEW","30.00","debit","Vacation","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Desertview Tradingpost","DESERTVIEW TRADINGPOST","10.67","debit","Vacation","Sapphire Card","Vacation2017 Vegas",""
"4/23/2017","Zion Snack Bar","ZION SNACK BAR","10.38","debit","Gifts & Donations","Sapphire Card","Vacation2017 Vegas",""
"4/22/2017","In Springdale Zion","IN *SPRINGDALE & ZION CAN435-7033175 UT","6.43","debit","Vacation","Rewards Card","Vacation2017 Vegas",""
"4/21/2017","Paris Le","PARIS LE CENTRAL","7.58","debit","Alcohol & Bars","Sapphire Card","Vacation2017 Vegas",""
"4/20/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","37.06","debit","Gas & Fuel","Rewards Card","",""
"4/20/2017","Aum Des Id","AUM DES:PAYMENT ID:XXXXX97318 INDN:KALPAN BHATT CO ID:XXXXX88580 PPD","59.50","debit","Utilities","Kalpan Checking","",""
"4/20/2017","Weis Markets","WEIS MARKETS 230","18.45","debit","Groceries","Freedom Card","",""
"4/20/2017","Pizza Hut","HILLSBOROUGH PIZZA HUT","17.37","debit","Fast Food","Sapphire Card","",""
"4/18/2017","Interest Earned","Interest Earned","0.08","credit","Interest Income","Kalpan Savings","",""
"4/18/2017","Federal Withholding","Federal Withholding","0.02","debit","Transfer","Kalpan Savings","",""
"4/18/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","24.00","debit","Gas & Fuel","Rewards Card","",""
"4/18/2017","Great Clips","8850 GREAT CLIPS AT BORO HILLSBOROUGH NJ","18.00","debit","Hair","Rewards Card","",""
"4/17/2017","Comcast","COMCAST 800-COMCAST NJ","78.01","debit","Television","Rewards Card","",""
"4/17/2017","Dave & Buster's","DAVE & BUSTERS 38 POWERCAPHILADELPHIA PA","25.00","debit","Amusement","Rewards Card","",""
"4/17/2017","Kailash Parbat Nj","SQ *KAILASH PARBAT NJ","62.03","debit","Restaurants","Sapphire Card","",""
"4/17/2017","Egg Mania","EGG MANIA","45.06","debit","Restaurants","Sapphire Card","",""
"4/16/2017","Bottle King","BOTTLE KING HILLSBOROUGH","70.62","debit","Alcohol & Bars","Sapphire Card","",""
"4/16/2017","Tim Horton's","TIM HORTON'S #915245","17.23","debit","Coffee Shops","Sapphire Card","",""
"4/16/2017","Wal-Mart","WALMART.COM 8009666546","61.73","debit","Furnishings","Sapphire Card","2017NewFurniture",""
"4/16/2017","Tst Bombay Wok","TST* BOMBAY WOK","43.04","debit","Restaurants","Sapphire Card","",""
"4/16/2017","Tim Horton's","TIM HORTON'S #915245","11.06","debit","Coffee Shops","Sapphire Card","",""
"4/16/2017","Panera Bread","PANERA BREAD #607011","22.07","debit","Fast Food","Sapphire Card","",""
"4/14/2017","Weis Markets","WEIS MARKETS 230 HILLSBOROUGH NJ","3.99","debit","Groceries","Rewards Card","",""
"4/14/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX2888591CTS INDN:BHATT,KALPAN K...","1128.49","credit","Paycheck","Kalpan Checking","",""
"4/14/2017","Tim Horton's","TIM HORTON'S #915245","6.58","debit","Coffee Shops","Sapphire Card","",""
"4/14/2017","Cognizant Techno Direct","COGNIZANT TECHNO DIRECT DEPPPD ID: 9111111103","500.00","credit","Paycheck","Kalpan Checking","",""
"4/13/2017","Burger King","BURGER KING #2668","9.16","debit","Fast Food","Sapphire Card","",""
"4/12/2017","Domino's Pizza","DOMINO'S 4962","3.21","debit","Fast Food","Sapphire Card","",""
"4/12/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","34.37","debit","Gas & Fuel","Rewards Card","",""
"4/12/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170414","500.00","credit","Paycheck","DCU Checking","",""
"4/11/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","24.33","debit","Gas & Fuel","Rewards Card","",""
"4/10/2017","Wal-Mart","WAL-MART #2651 MANVILLE NJ","85.78","debit","Groceries","Rewards Card","",""
"4/10/2017","Starbucks","STARBUCKS STORE 22879 TINTON FALLS NJ","5.61","debit","Coffee Shops","Rewards Card","",""
"4/10/2017","Nathans Famous","NATHANS FAMOUS","6.39","debit","Food & Dining","Sapphire Card","",""
"4/10/2017","DKNY","DKNY TINTON FALLS","47.69","debit","Clothing","Sapphire Card","",""
"4/10/2017","Tommy Hilfiger","TOMMY HILFIGER #148","33.47","debit","Clothing","Sapphire Card","",""
"4/10/2017","Chipotle","CHIPOTLE 0867","14.75","debit","Restaurants","Sapphire Card","",""
"4/09/2017","Bottle King","BOTTLE KING HILLSBOROUGH","94.06","debit","Alcohol & Bars","Sapphire Card","",""
"4/09/2017","Corning Ware Corelle Revere","CORNINGWARE CORELLE #279","13.46","debit","Furnishings","Sapphire Card","",""
"4/09/2017","Dosa Grill","DOSA GRILL","28.00","debit","Restaurants","Sapphire Card","",""
"4/09/2017","Gap","GAP OUTLET US 1772","88.46","debit","Clothing","Sapphire Card","",""
"4/09/2017","Auntie Anne Nj","AUNTIE ANNE'S NJ133","7.22","debit","Food & Dining","Sapphire Card","",""
"4/09/2017","New York & Company","NEW YORK & COMPANY OUTLE","102.43","debit","Clothing","Sapphire Card","",""
"4/09/2017","California Pizza Kitchen","CALIFORNIA PIZZA 307","65.00","debit","Restaurants","Sapphire Card","",""
"4/07/2017","Discover Des E","DISCOVER DES:E-PAYMENT ID:6204 INDN:BHATT TIRUPATI CO ID:XXXXX20270 WEB","3000.00","debit","Credit Card Payment","Kalpan Checking","",""
"4/06/2017","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","78.55","credit","Transfer","Kalpan Checking","",""
"4/06/2017","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"4/06/2017","Transfer from Kalpan Savings","Online Banking transfer from SAV 2431 Confirmation# 5549124883","744.59","credit","Transfer","Kalpan Checking","",""
"4/06/2017","Transfer to Kalpan Checking","Online Banking transfer to CHK 7360 Confirmation# 5549124883","744.59","debit","Transfer","Kalpan Savings","",""
"4/06/2017","Fidelity","FID BKG SVC LLC  MONEYLINEPPD ID: 0368004600","1500.00","debit","Transfer","Kalpan Checking","",""
"4/05/2017","People PC","WITHDRAW / 04/05/2017 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","78.55","debit","Transfer","DCU Checking","",""
"4/05/2017","People PC","WITHDRAW / 04/05/2017 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","499.00","debit","Transfer","DCU Checking","",""
"4/05/2017","Mobile Email Transfer","Mobile/Email Transfer Conf# jebpjfsfc; BHATT, KHUSHBU","732.89","credit","Transfer","Kalpan Savings","",""
"4/05/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","34.26","debit","Gas & Fuel","Rewards Card","",""
"4/04/2017","Credit Card Payment","Chase Credit Cards Bill Payment","350.07","debit","Credit Card Payment","Kalpan Checking","",""
"4/04/2017","Credit Card Payment","Chase Credit Cards Bill Payment","397.11","debit","Credit Card Payment","Kalpan Checking","",""
"4/04/2017","Thank You Bill","Payment Thank You Bill Pa","397.11","credit","Credit Card Payment","Freedom Card","",""
"4/04/2017","Thank You Bill","Payment Thank You Bill Pa","350.07","credit","Credit Card Payment","Sapphire Card","",""
"4/04/2017","Geico","GEICO  *AUTO","708.50","debit","Auto Insurance","Sapphire Card","Reimbursable",""
"4/04/2017","Digital Ubill Paymt","WITHDRAW / DIGITAL CREDIT UBILL PAYMT170404","823.55","debit","Auto Payment","DCU Checking","",""
"4/04/2017","Digital Ubill Paymt","WITHDRAW / DIGITAL CREDIT UBILL PAYMT170404","160.50","debit","Auto Payment","DCU Checking","",""
"4/03/2017","Sunnymeade Run","Sunnymeade Run","1780.00","debit","Mortgage & Rent","Cash","",""
"4/03/2017","Target","TARGET 00012245 BRIDGEWATER NJ","40.58","debit","Shopping","Rewards Card","",""
"4/03/2017","Transfer from Kalpan Checking","PAYMENT","365.13","credit","Credit Card Payment","Rewards Card","",""
"4/03/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","10.68","debit","Movies & DVDs","Rewards Card","",""
"4/03/2017","Transfer to Rewards Card","Bank of America Credit Card Bill Payment","365.13","debit","Credit Card Payment","Kalpan Checking","",""
"4/03/2017","Transfer to Platinum Card","Bank of America Credit Card Bill Payment","79.56","debit","Credit Card Payment","Kalpan Checking","",""
"4/03/2017","Domino's Pizza","DOMINO'S 4962","10.41","debit","Fast Food","Sapphire Card","",""
"4/03/2017","Wyndham Cafe","ARAMARK WYNDHAM 14 SYLVAN","1.58","debit","Food & Dining","Sapphire Card","",""
"4/02/2017","BP","BP#2147858METROPARK FUEL","23.09","debit","Gas & Fuel","Freedom Card","",""
"4/02/2017","Red Chutney","RED CHUTNEY","44.00","debit","Restaurants","Sapphire Card","",""
"4/02/2017","Bed Bath & Beyond","BED BATH & BEYOND #755","21.36","debit","Home Supplies","Sapphire Card","",""
"4/01/2017","Patel Brothers","PATEL BROTHERS ISELIN NJ","104.77","debit","Groceries","Rewards Card","",""
"3/31/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX2640920CTS INDN:BHATT,KALPAN K...","1318.56","credit","Paycheck","Kalpan Checking","",""
"3/31/2017","Cognizant Techno Direct","COGNIZANT TECHNO DIRECT DEPPPD ID: 9111111103","500.00","credit","Paycheck","Kalpan Checking","",""
"3/31/2017","Dividend","DIVIDEND","0.02","credit","Investments","DCU Savings","",""
"3/30/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","10.00","debit","Gas & Fuel","Freedom Card","",""
"3/30/2017","Toyota","TOYOTA OF MORRISTOWN","285.82","debit","Service & Parts","Sapphire Card","2017 Car Service",""
"3/30/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170331","500.00","credit","Paycheck","DCU Checking","",""
"3/28/2017","NJ State Tax","STATE OF N.J. DES:NJSTTAXRFD ID: XXXXX9586 INDN:BHATT KALPAN & KHUSHBU...","103.00","credit","State Tax","Kalpan Checking","",""
"3/27/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:PAYMENTS ID:EX0000578137 INDN:Kalpan Bhatt CO...","380.00","credit","Reimbursement","Kalpan Checking","",""
"3/27/2017","Bollywood Grill","BOLLYWOOD GRILL","34.75","debit","Restaurants","Sapphire Card","",""
"3/27/2017","Kati Roll","THE KATI ROLL COMPANY","40.66","debit","Restaurants","Sapphire Card","",""
"3/27/2017","Artichoke Basilles Piz","ARTICHOKE BASILLES PIZ","20.00","debit","Fast Food","Sapphire Card","",""
"3/26/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","34.80","debit","Gas & Fuel","Freedom Card","",""
"3/26/2017","Big Bazaar","BIG BAZAAR","58.81","debit","Groceries","Sapphire Card","",""
"3/22/2017","Bankamerideals Cashback","BankAmeriDeals CASHBACK","0.20","credit","Income","Kalpan Checking","",""
"3/21/2017","Subhlaxmi","SUBHLAXMI PISCATAWAY NJ","110.00","debit","Furnishings","Rewards Card","2017NewFurniture",""
"3/21/2017","Subhlaxmi","SUBHLAXMI PISCATAWAY NJ","13.64","debit","Groceries","Rewards Card","",""
"3/21/2017","Interest Earned","Interest Earned","0.05","credit","Interest Income","Kalpan Savings","",""
"3/21/2017","Federal Withholding","Federal Withholding","0.01","debit","Transfer","Kalpan Savings","",""
"3/21/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","19.00","debit","Gas & Fuel","Freedom Card","",""
"3/20/2017","Aum Des Id","AUM DES:PAYMENT ID:XXXXX97318 INDN:KALPAN BHATT CO ID:XXXXX88580 PPD","77.44","debit","Utilities","Kalpan Checking","",""
"3/20/2017","Costco","COSTCO WHSE #0322","146.43","debit","Groceries","Freedom Card","",""
"3/20/2017","Chipotle","CHIPOTLE 1772","16.25","debit","Restaurants","Sapphire Card","",""
"3/20/2017","Tim Horton's","TIM HORTON'S #915245","1.16","debit","Coffee Shops","Sapphire Card","",""
"3/20/2017","Tim Horton's","TIM HORTON'S #915245","12.38","debit","Coffee Shops","Sapphire Card","",""
"3/19/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","36.63","debit","Gas & Fuel","Freedom Card","",""
"3/19/2017","Pind","THE PIND","45.00","debit","Restaurants","Sapphire Card","",""
"3/19/2017","Bottle King","BOTTLE KING HILLSBOROUGH","34.13","debit","Alcohol & Bars","Sapphire Card","",""
"3/17/2017","Comcast","COMCAST 800-COMCAST NJ","75.14","debit","Television","Rewards Card","",""
"3/16/2017","Tim Horton's","TIM HORTON'S #915245","5.85","debit","Coffee Shops","Sapphire Card","",""
"3/15/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX9880560CTS INDN:BHATT,KALPAN K...","1318.56","credit","Paycheck","Kalpan Checking","",""
"3/15/2017","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX8007940CTS INDN:BHATT,KALPAN K...","185.20","credit","Paycheck","Kalpan Checking","",""
"3/15/2017","Internal Revenue Service","IRS TREAS 310 DES: TAX REF ID:XXXXX9586200908 INDN:BHATT, KALPAN...","1012.00","credit","Federal Tax Refund","Kalpan Checking","",""
"3/15/2017","Cognizant Techno Direct","COGNIZANT TECHNO DIRECT DEPPPD ID: 9111111103","500.00","credit","Paycheck","Kalpan Checking","",""
"3/15/2017","Cognizant Techno Direct","COGNIZANT TECHNO DIRECT DEPPPD ID: 9111111103","500.00","credit","Paycheck","Kalpan Checking","",""
"3/15/2017","Wyndham Cafe","ARAMARK WYNDHAM 14 SYLVAN","1.91","debit","Food & Dining","Sapphire Card","",""
"3/15/2017","Old Navy","OLD NAVY ON-LINE","95.96","debit","Clothing","Sapphire Card","",""
"3/14/2017","Starbucks","STARBUCKS STORE 07332 HILLSBOROUGH NJ","2.08","debit","Coffee Shops","Rewards Card","",""
"3/14/2017","Romanos","ROMANOS 1062","50.00","debit","Fast Food","Sapphire Card","",""
"3/14/2017","Shop Rite","SHOPRITE HILLSBORGH S1","57.00","debit","Groceries","Sapphire Card","",""
"3/14/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170315","500.00","credit","Paycheck","DCU Checking","",""
"3/13/2017","Lowe's","LOWES #01656* HILLSBOROUGH NJ","7.46","debit","Home Improvement","Rewards Card","",""
"3/13/2017","Starbucks","STARBUCKS STORE 11271 BRIDGEWATER NJ","2.08","debit","Coffee Shops","Rewards Card","",""
"3/13/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170315","500.00","credit","Paycheck","DCU Checking","",""
"3/13/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","24.39","debit","Gas & Fuel","Freedom Card","",""
"3/13/2017","IHOP","IHOP #4670","25.00","debit","Restaurants","Sapphire Card","",""
"3/13/2017","Chipotle","CHIPOTLE 0867","22.25","debit","Restaurants","Sapphire Card","",""
"3/12/2017","Quick Chek Corporation","QUICK CHEK CORPORATION","36.00","debit","Gas & Fuel","Freedom Card","",""
"3/12/2017","Bed Bath & Beyond","BED BATH & BEYOND #755","59.84","debit","Home Supplies","Sapphire Card","2017NewFurniture",""
"3/10/2017","Svc, LLC","FID BKG SVC LLC DES:MONEYLINE ID:X837494131CGWYP INDN:KALPAN BHATT...","3000.00","debit","Transfer","Kalpan Checking","",""
"3/10/2017","Tim Horton's","TIM HORTON'S #915245","4.57","debit","Coffee Shops","Sapphire Card","",""
"3/09/2017","Bankamerideals Cashback","BankAmeriDeals CASHBACK","100.00","credit","Income","Kalpan Checking","",""
"3/08/2017","Public Service","PUBLIC SERVICE DES:PSEG ID:XXXXX8037908 INDN:KALPAN BHATT CO ID:XXXXX12800 PPD","79.27","debit","Utilities","Kalpan Checking","",""
"3/08/2017","Fidelity","FID BKG SVC LLC  MONEYLINEPPD ID: 0368004600","1082.00","debit","Transfer","Kalpan Checking","",""
"3/08/2017","Staples","STAPLES       00118687","18.68","debit","Office Supplies","Sapphire Card","",""
"3/07/2017","Transfer from Kalpan Savings","Online Banking transfer from SAV 2431 Confirmation# 2490335541","1844.00","credit","Transfer","Kalpan Checking","",""
"3/07/2017","Transfer to Kalpan Checking","Online Banking transfer to CHK 7360 Confirmation# 2490335541","1844.00","debit","Transfer","Kalpan Savings","",""
"3/07/2017","Svc, LLC","FID BKG SVC LLC  MONEYLINEPPD ID: 0368004600","2500.00","debit","Transfer","Kalpan Checking","",""
"3/06/2017","Patel Brothers","PATEL BROTHERS EDISON NJ","85.05","debit","Groceries","Rewards Card","",""
"3/06/2017","Transfer to Kalpan Savings","Online Banking transfer to SAV 2431 Confirmation# 2181723534","8186.00","debit","Transfer","Kalpan Checking","",""
"3/06/2017","E Trade Des","E*TRADE DES:ACH TRNSFR ID:XXXXX209749 INDN:36243543 CO ID:XXXXX21258 PPD","10502.62","credit","Transfer","Kalpan Checking","",""
"3/06/2017","Transfer from Kalpan Checking","Online Banking transfer from CHK 7360 Confirmation# 2181723534","8186.00","credit","Transfer","Kalpan Savings","",""
"3/06/2017","Transfer from Khushbu Checking","Mobile/Email Transfer Conf# 124fmccgf; BHATT, KHUSHBU","1855.00","credit","Transfer","Kalpan Savings","",""
"3/06/2017","Home Goods","HOMEGOODS #266","19.24","debit","Furnishings","Sapphire Card","2017NewFurniture",""
"3/06/2017","Freshii","FRESHII - FLEMINGTON","21.97","debit","Restaurants","Sapphire Card","",""
"3/05/2017","Kailash Parbat Nj","SQ *KAILASH PARBAT NJ","68.13","debit","Restaurants","Sapphire Card","",""
"3/03/2017","Transfer to Sapphire Card","Chase Credit Cards Bill Payment","1380.65","debit","Credit Card Payment","Kalpan Checking","",""
"3/03/2017","Transfer to Freedom Card","Chase Credit Cards Bill Payment","473.44","debit","Credit Card Payment","Kalpan Checking","",""
